SAMPLE;LUKE;principal component 1;principal component 2;TIME;LEAF MARGIN;ABAXIAL INDUMENTUM;PEONY HEIGHT;LEAF HEIGHT;UPRIGHTNESS;PEDUNCLE LENGTH;FLOWER DIAMETER;FLOWER HEIGHT;FLOWER VOLUME IN CL;R;G;B;RGB_AVG;STAMEN;OVARY;STIGMA;SHAPE;FRAGRANCE;CHL;CHL_SD;FLAV;FLAV_SD;ANTH;ANTH_SD;NBI;NBI_SD
239;LUKE-1228;-0,988196029;0,060258775;1;RED;NO;940;680;1;13,7;157;57;110,3478922;233;221;207;220;YES;LIGHTGREEN;RED;DOUBLE;STRONG;35,781;3,608;1,649;0,121;0,145;0,023;21,739;2,188
241;LUKE-4702 B;0,773996206;1,191914487;2;RED;NO;800;640;2;7,3;140;55;84,66592201;75;15;29;40;YES;PALE;RED;DOUBLE;PLASTICKY;38,103;6,48;1,487;0,269;0,115;0,023;26,509;6,591
243;LUKE-528;2,811784617;-1,373475483;1;BROWN;YES;970;710;1;13,3;154;56;104,3084159;207;127;185;173;NO;REDANDGREEN;RED;CROWN;SWEET;42,201;7,986;1,593;0,109;0,1;0,024;26,376;3,873
244;LUKE-4921;-2,313396515;-0,499335763;1;BROWN;YES;790;600;1;9;175;80;192,42255;242;229;228;233;NO;GREEN;RED;DOUBLE;STRONG;42,955;3,353;1,46;0,242;0,107;0,018;29,388;3,24
245;LUKE-4903;-1,004135981;0,291974183;1;RED;YES;880;600;2;7,3;121;39;44,84615659;188;30;106;108;YES;PALE;RED;SINGLE;PLASTICKY;31,75;5,1;1,677;0,204;0,144;0,023;18,986;2,399
246;LUKE-4901;1,592365929;1,168088665;2;RED;NO;730;620;2;10;146;54;90,40435516;149;0;99;83;YES;LIGHTGREEN;RED;DOUBLE;PLASTICKY;36,309;4,485;1,606;0,194;0,112;0,032;22,679;2,079
248;LUKE-4861;2,811784617;-1,373475483;1;RED;YES;560;440;2;16;131;60;80,86930729;178;79;137;131;NO;REDANDGREEN;RED;CROWN;SWEET;52,572;6,695;1,613;0,099;0,067;0,027;32,891;4,759
249;LUKE-4831;0,263859582;3,314574558;2;RED;NO;820;670;2;13,3;143;44;70,66667099;188;30;106;108;YES;PALE;PALE;DOUBLE;PLASTICKY;34,797;2,972;1,437;0,359;0,111;0,027;25,631;7,512
251;LUKE-4828;-1,34945042;-0,957972931;2;RED;NO;860;620;0;13;137;45;66,33512158;219;118;176;171;YES;NO;NO;DOUBLE;WEAK;34,849;3,833;1,646;0,24;0,123;0,02;21,158;2,518
252;LUKE-4764;-0,355947922;-0,686055185;2;LIGHTGREEN;NO;730;540;1;9,7;171;69;158,4642111;159;27;76;87;NO;REDANDGREEN;RED;CROWN;WEAK;44,141;3,597;1,364;0,238;0,094;0,039;33,404;6,007
253;LUKE-4763;-2,480694686;-0,479346698;1;BROWN;YES;800;630;1;9,7;165;66;141,124269;246;234;227;236;NO;RED;RED;DOUBLE;STRONG;35,301;5,03;1,684;0,104;0,134;0,047;20,658;2,899
254;LUKE-4762;1,7758995;-0,825403444;2;RED;NO;860;710;1;15;147;49;83,16117767;235;139;216;197;NO;BROWNISH;RED;CROWN;WEAK;41,862;6,179;1,451;0,255;0,106;0,023;29,772;1,272
255;LUKE-4752;0,041246087;-0,753585114;2;RED;YES;870;660;1;15,7;142;49;77,60016598;219;87;174;160;NO;BROWNISH;RED;CROWN;WEAK;36,201;4,338;1,767;0,112;0,136;0,019;21,225;2,374
256;LUKE-4712;1,258350695;0,476063235;2;RED;YES;860;600;1;10,7;159;47;93,32155955;188;30;106;108;NO;LIGHTGREEN;RED;CROWN;WEAK;31,779;5,227;1,606;0,202;0,146;0,027;19,92;3,23
259;LUKE-4685;-2,492920663;-0,663856971;1;LIGHTGREEN;YES;980;710;1;11,7;161;73;148,6156323;246;234;227;236;NO;NO;NO;DOUBLE;STRONG;37,575;4,451;1,577;0,157;0,125;0,021;24,072;3,92
260;LUKE-4684;2,811784617;-1,373475483;1;RED;YES;770;580;1;15,3;153;57;104,796698;207;127;185;173;NO;BROWNISH;RED;CROWN;WEAK;41,62;5,755;1,651;0,165;0,114;0,019;25,272;3,118
261;LUKE-4682;-1,643954119;-0,008746223;3;LIGHTGREEN;NO;800;490;0;12,7;155;59;111,3282262;240;201;214;218;NO;NO;NO;DOUBLE;WEAK;44,005;3,864;1,438;0,157;0,101;0,027;30,775;2,89
262;LUKE-4675;1,258350695;0,476063235;2;RED;YES;910;670;0;11,3;160;54;108,5734421;159;26;112;99;NO;LIGHTGREEN;RED;CROWN;WEAK;44,821;3,208;1,465;0,204;0,093;0,016;30,968;3,522
263;LUKE-4620;-2,233702269;-1,159840933;2;BROWN;NO;950;650;0;12,7;159;57;113,1772105;234;183;235;217;YES;PALE;RED;DOUBLEZONES;NORMAL;42,723;3,473;1,514;0,209;0,116;0,026;28,369;4,145
265;LUKE-4618;1,039619622;0,450963554;2;RED;YES;880;590;0;11,7;153;49;90,08838947;188;30;106;108;NO;LIGHTGREEN;RED;CROWN;WEAK;35,946;10,965;1,494;0,188;0,109;0,023;23,306;6,596
266;LUKE-4583;-1,404392239;-1,008882843;2;RED;NO;950;680;1;11,3;145;48;79,26238265;238;167;206;204;YES;PALE;RED;DOUBLE;NORMAL;36,779;5,756;1,485;0,346;0,125;0,027;25,818;5,266
267;LUKE-4566;2,811784617;-1,373475483;1;BROWN;YES;750;580;1;11,7;164;62;130,9692278;235;139;216;197;NO;BROWNISH;RED;CROWN;SWEET;45,508;3,97;1,65;0,151;0,09;0,028;27,608;2,337
268;LUKE-4519;-0,21056526;1,178360153;3;BROWN;NO;930;640;0;12,5;160;48;96,50972632;205;44;123;124;NO;NO;NO;DOUBLE;WEAK;40,28;6,206;1,482;0,195;0,132;0,022;28,158;3,414
269;LUKE-4506;2,811784617;-1,373475483;1;BROWN;YES;880;630;1;12,7;145;65;107,3344765;188;77;160;142;NO;BROWNISH;RED;DOUBLE;SWEET;42,892;4,618;1,701;0,102;0,102;0,028;25,234;2,491
270;LUKE-4504;0,757815847;1,606763364;1;RED;NO;890;670;2;15;109;33;30,79334141;96;12;35;48;YES;RED;RED;SINGLE;SPICY;38,76;4,283;1,514;0,328;0,139;0,016;26,292;3,836
271;LUKE-4501;-2,515075972;-0,467647862;2;RED;YES;740;580;1;10,3;159;57;113,1772105;246;234;227;236;NO;PALE;PALE;CROWN;STRONG;29,577;3,852;1,605;0,123;0,165;0,019;18,427;1,902
