paikka;naytenumero;principal component 1;principal component 2;aika;naytteen kerayspaiva;analysoitu;Lehden reunan sävy;Alapinnassa karvoja;hKuk;hLeh;tuenta? ;lKP_L1;lKP_L2;lKP_L3;lKP_ka;dKukka;hKukka;ulkoTLvari;ulkoTLR;ulkoTLG;ulkoTLB;ulkoRGB;ulkoTLreuna;sisaTLvari;sisaTLR;sisaTLG;sisaTLB;sisaRGB;sisaTLreuna;Vpalho;Vponsi;sikiAinen;luotti;muoto;tuoksu;Dualex group;Chl;Chl_sd;Flav;Flav_sd;Anth;Anth_sd;NBI;NBI_sd;Chl_ala;Flav_ala;Anth_ala;NBI_ala;Chl_keski;Flav_keski;Anth_keski;NBI_keski;Chl_yla;Flav_yla;Anth_yla;NBI_yla;poikkeavuus
237;LUKE-13;-1,680483056;-0,713567976;1;28.6.2022;30.6.2022;PUNAINEN;1;700;580;hyotyy;10;10;10;10;143;57;4F155A;233;221;207;;VALKOINEN;1F49D;240;201;214;;PUNAINEN / VALKOINEN;-;-;VAALEANVIHREA;PUNAINEN;PALLO LAUTASELLA;voimakas;46;37,169;3,667;1,518;0,143;0,11;0,025;24,534;1,791;33,347;1,378333333;0,118666667;24,23;37,42533333;1,529333333;0,114333333;24,62333333;40,73533333;1,646;0,095666667;24,74666667;-
238;LUKE-126;-2,480694686;-0,479346698;1;28.6.2022;30.6.2022;PUNAINEN;1;810;590;hyotyy;13;13;13;13;151;65;4F155A;233;221;207;;VALKOINEN;4F155A;233;221;207;;PUNAINEN / VALKOINEN;-;-;VAALEA;PUNAINEN;KERROTTU;voimakas;47;34,671;2,808;1,632;0,126;0,139;0,063;21,378;2,662;32,387;1,562;0,143;20,81333333;35,93333333;1,668666667;0,140333333;21,76;35,692;1,664666667;0,135;21,56;-
239;LUKE-1228;-0,988196029;0,060258775;1;28.6.2022;30.6.2022;PUNAINEN;0;940;680;hyotyy;15;13;13;13,7;157;57;4F155A;233;221;207;;VALKOINEN;4F155A;233;221;207;;PUNAINEN / VALKOINEN;KELTAINEN;KELTAINEN;VAALEANVIHREA;PUNAINEN;KERROTTU;voimakas;48;35,781;3,608;1,649;0,121;0,145;0,023;21,739;2,188;33,03366667;1,541333333;0,135666667;21,39333333;35,56466667;1,695666667;0,164333333;20,99666667;38,74533333;1,711;0,134666667;22,82666667;-
241;LUKE-4702 B;0,773996206;1,191914487;2;30.6.2022;6.7.2022;PUNAINEN;0;800;640;eitarvitse;9;7;6;7,3;140;55;2F61A;103;10;45;;VALKOINEN;2F59A;75;15;29;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;PUNAINEN;KERROTTU;muovinen;51;38,103;6,48;1,487;0,269;0,115;0,023;26,509;6,591;35,97833333;1,210666667;0,107;30,18;43,01366667;1,621666667;0,1025;26,62666667;35,318;1,699;0,130333333;20,83;erittäin viroottinen
243;LUKE-528;2,811784617;-1,373475483;1;28.6.2022;30.6.2022;RUSKEA;1;970;710;hyotyy;11;12;17;13,3;154;56;2F72C;172;58;143;;VALKOINEN;2F70D;207;127;185;;VALKOINEN;-;-;PUNAVIHREA;PUNAINEN;PALLO LAUTASELLA;makea;52;42,201;7,986;1,593;0,109;0,1;0,024;26,376;3,873;33,91466667;1,476;0,1115;23,07;42,358;1,632666667;0,106333333;25,94;50,33;1,67;0,085666667;30,12;-
244;LUKE-4921;-2,313396515;-0,499335763;1;28.6.2022;30.6.2022;RUSKEA;1;790;600;hyotyy;8;9;10;9;175;80;4F155B;246;234;227;;VALKOINEN;4F155D;242;229;228;;PUNAINEN / VALKOINEN;-;-;VIHREA;PUNAINEN;KERROTTU;voimakas;53;42,955;3,353;1,46;0,242;0,107;0,018;29,388;3,24;38,93466667;1,249333333;0,1045;31,55666667;45,032;1,5295;0,111333333;29,175;44,899;1,7065;0,104;26,35;suuret lehdet
245;LUKE-4903;-1,004135981;0,291974183;1;28.6.2022;30.6.2022;PUNAINEN;1;880;600;eitarvitse;7;7;8;7,3;121;39;2F67B;188;30;106;;VALKOINEN;2F67B;188;30;106;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;PUNAINEN;PUOLIKERROTTU;muovinen;54;31,75;5,1;1,677;0,204;0,144;0,023;18,986;2,399;25,76866667;1,522333333;0,153666667;17,22;32,51;1,650666667;0,136333333;19,82666667;36,972;1,858333333;0,14;19,91;-
246;LUKE-4901;1,592365929;1,168088665;2;30.6.2022;4.7.2022;PUNAINEN;0;730;620;eitarvitse;9;8;13;10;146;54;2F74A;149;0;99;;VALKOINEN;2F74A;149;0;99;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEANVIHREA;PUNAINEN;KERROTTU;muovinen;55;36,309;4,485;1,606;0,194;0,112;0,032;22,679;2,079;34,53866667;1,518666667;0,096;22,79666667;37,06333333;1,541333333;0,122333333;23,98333333;37,324;1,758666667;0,117333333;21,26;-
248;LUKE-4861;2,811784617;-1,373475483;1;28.6.2022;30.6.2022;PUNAINEN;1;560;440;eitarvitse;16;16;-;16;131;60;2F72B;127;27;96;;VALKOINEN;2F70C;178;79;137;;VALKOINEN;-;-;PUNAVIHREA;PUNAINEN;PALLO LAUTASELLA;makea;56;52,572;6,695;1,613;0,099;0,067;0,027;32,891;4,759;48,19233333;1,646;0,075333333;29,13333333;52,36866667;1,594;0,054;33,89;57,15433333;1,594333333;0,067666667;35,98333333;vain kolme kukkaa
249;LUKE-4831;0,263859582;3,314574558;2;30.6.2022;6.7.2022;PUNAINEN;0;820;670;eitarvitse;15;11;14;13,3;143;44;2F61A;103;10;45;;VALKOINEN;2F67B;188;30;106;;VALKOINEN;KELTAINEN;KELTAINEN;VAALEA;VAALEA;KERROTTU;muovinen;57;34,797;2,972;1,437;0,359;0,111;0,027;25,631;7,512;33,23633333;0,949;0,132666667;34,495;35,788;1,434666667;0,106;25,30666667;35,36633333;1,764333333;0,095;20,04666667;-
250;LUKE-4830;2,811784617;-1,373475483;1;28.6.2022;30.6.2022;PUNAINEN;1;-;440;-;-;-;-;-;154;63;2F72C;172;58;143;;VALKOINEN;2F72C;172;58;143;;VALKOINEN;-;-;PUNARUSKEA;PUNAINEN;PALLO LAUTASELLA;makea;58;43,965;3,229;1,703;0,05;0,119;0,044;25,857;2,352;41,576;1,742666667;0,138;23,85333333;46,468;1,673333333;0,0995;27,81666667;43,85133333;1,693666667;0,114333333;25,90333333;vain yksi kukka
251;LUKE-4828;-1,34945042;-0,957972931;2;30.6.2022;4.7.2022;PUNAINEN;0;860;620;vaatii;14;15;10;13;137;45;2F62B;230;119;173;;VALKOINEN;2F65A;219;118;176;;VALKOINEN / PUNAINEN;KELTAINEN;KELTAINEN;-;-;KERROTTU;heikko;59;34,849;3,833;1,646;0,24;0,123;0,02;21,158;2,518;30,396;1,392333333;0,1045;22,14666667;36,484;1,823333333;0,125;20,04333333;37,66666667;1,761;0,133666667;21,35;-
